Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
,Madlib - Piñata Beats,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, ESGN, Hip Hop, Instrumental, Jazzy Hip-Hop, LP, Madlib Invazion, Stereo, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/1NtoCx5M3thGb59-OohGG-pfdh9MjQSt8gnDYwzRRd4/rs:fit/g:sm/q:90/h:588/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU1Mjg3/ODUtMTYyNDQxNDI5/MS0zNjUyLmpwZWc.jpeg,1,Madlib - Piñata Beats,FALSE,Madlib - Piñata Beats | Village Record Club,Madlib - Piñata Beats is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,U2 - The Best Of 1990-2000,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Bernie Grundman Mastering, Blue Mountain Music Ltd., Compilation, Island Records, LP, Mother Music, MPO, Opal Music, Pop Rock, Reissue, Remastered, Rock, The Mastering Lab, UMC, Universal International Music B.V., Universal Music Group, Universal Music Operations Ltd., Universal Music Publishing, Upala Music Inc., Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/RaQP0mff8Hj7SFOXwMamW0PVX0CUKOdXmxXntflz_KM/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ1Njgy/OC0xMjkwMjY1NDk5/LmpwZWc.jpeg,1,U2 - The Best Of 1990-2000,FALSE,U2 - The Best Of 1990-2000 | Village Record Club,U2 - The Best Of 1990-2000 is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,"Madlib - History Of The Loop Digga, 1990-2000",,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Hip Hop, LP, Madlib Invazion, Madlib Medicine Show, R.E.M. Sound, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/g-KGNMC9tLiu2ELwxKQut18yQVKVGW1D-xEHBDf8uTY/rs:fit/g:sm/q:90/h:500/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyOTU5/OTYtMTI3OTMyOTE1/NC5qcGVn.jpeg,1,"Madlib - History Of The Loop Digga, 1990-2000",FALSE,"Madlib - History Of The Loop Digga, 1990-2000 | Village Record Club","Madlib - History Of The Loop Digga, 1990-2000 is available to add to your wishlist.",,,,,,,,,,,,,,,lb,,,,,active
,Maceo Parker - Dial: Maceo,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Dan's House Of Love, Editions Jean-Marie Salhani, EFA Medien GmbH, Emancipated Music, Ensign Music Corp., ESC Records, Funk / Soul, Jazz, Jazz-Funk, LP, Paisley Park Studios, Scarab Music, Stereo, Sterling Sound, Universal Music Publishing, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/yoPCYrSe_5hVU2sOawESuqkA1HJCWCGkFuN2zfLk0W0/rs:fit/g:sm/q:90/h:597/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0OTQ3/NTktMTI4NzcxODY4/MC5qcGVn.jpeg,1,Maceo Parker - Dial: Maceo,FALSE,Maceo Parker - Dial: Maceo | Village Record Club,Maceo Parker - Dial: Maceo is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Mac Miller - Swimming In Circles,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Box Set, Capitol Mastering, Compilation, GZ Media, Hip Hop, Jazzy Hip-Hop, Limited Edition, LP, Memphis Record Pressing, Precision Record Pressing, Vinyl, Warner Music Group, Warner Records, Warner Records Inc.",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,,1,Mac Miller - Swimming In Circles,FALSE,Mac Miller - Swimming In Circles | Village Record Club,Mac Miller - Swimming In Circles is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Mac Miller - K.I.D.S. (Kickin Incredibly Dope Shit),,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"All Media, Hip Hop, LP, Mixtape, Most Dope, Promo, Rostrum Records, Unofficial Release, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/8OrwpCFBmZE3u9dzhPiV0MHy8gJXTmtb5IV61ny-KwE/rs:fit/g:sm/q:90/h:500/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ2MzU5/ODQtMTM3MDYzMDM3/Ni05MjIyLmpwZWc.jpeg,1,Mac Miller - K.I.D.S. (Kickin Incredibly Dope Shit),FALSE,Mac Miller - K.I.D.S. (Kickin Incredibly Dope Shit) | Village Record Club,Mac Miller - K.I.D.S. (Kickin Incredibly Dope Shit) is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Mac Miller - GO:OD AM,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Hip Hop, Limited Edition, LP, Reissue, REMember Music, Stereo, Urban Outfitters, Vinyl, Warner Bros. Records Inc., Warner Records",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/L8ZTHwDEKhVIuEMvqK1FQ4ZypDULu50vlow_-o3rjwM/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxMDI4/MjEwLTE2MzcyNDMz/ODUtNDIxMi5qcGVn.jpeg,1,Mac Miller - GO:OD AM,FALSE,Mac Miller - GO:OD AM | Village Record Club,Mac Miller - GO:OD AM is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Mac Miller - Faces,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Cloud Rap, Conscious, Hip Hop, Jazzy Hip-Hop, LP, Mixtape, Remember Music, Remember Records, Unofficial Release, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/vcVoUFZPxORUJezSj88RVkWsvvqGPaEEJQIpdt6CJXU/rs:fit/g:sm/q:90/h:500/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU3MDYy/NTAtMTY2MjE2MzE2/OS01OTIwLmpwZWc.jpeg,1,Mac Miller - Faces,FALSE,Mac Miller - Faces | Village Record Club,Mac Miller - Faces is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Mac Miller - Best Day Ever,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"All Media, Hip Hop, LLC, LP, Mixtape, Reissue, Rostrum Records, Single Sided, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/2cZ57G0rJE98EWHiQW39z6olG7v5Lqlaba4aNc6g_So/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI4NTcw/ODUtMTU4NzEzNjc1/MS0xMjAxLmpwZWc.jpeg,1,Mac Miller - Best Day Ever,FALSE,Mac Miller - Best Day Ever | Village Record Club,Mac Miller - Best Day Ever is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Mac Demarco - The Wonderful World Of Mac DeMarco Singles Club #2,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"7"", Captured Tracks, Converse Rubber Tracks Studio, Indie Rock, Limited Edition, Lo-Fi, Rock, Single, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,,1,Mac Demarco - The Wonderful World Of Mac DeMarco Singles Club #2,FALSE,Mac Demarco - The Wonderful World Of Mac DeMarco Singles Club #2 | Village Record Club,Mac Demarco - The Wonderful World Of Mac DeMarco Singles Club #2 is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,mxmtoon - Dawn & Dusk,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Awal Recordings America, AWAL Recordings Inc., Compilation, Inc., Indie Pop, Kobalt Music Publishing, Limited Edition, LP, Mountainroad Studios, Pop, Sterling Sound, Urban Outfitters, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/pzB9fBzJDC06yNAWhAVuR34VOVol9aAnT2ulL5yt3d8/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI4NTA5/ODIwLTE2OTY1NjQ4/OTQtOTY1NC5qcGVn.jpeg,1,mxmtoon - Dawn & Dusk,FALSE,mxmtoon - Dawn & Dusk | Village Record Club,mxmtoon - Dawn & Dusk is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,MIA - Maya,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Conscious, Dubstep, Electro, Electroclash, Electronic, Experimental, Grime, Hip Hop, Industrial, Leftfield, LP, N.E.E.T., Noise, Optimal Media Production, Pop, Vinyl, XL Recordings, XL Recordings Ltd.",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/xf7w1bNX3dt8afXmNVZhMpbMHHs9k6Jvn0ZSiqEJlr0/rs:fit/g:sm/q:90/h:603/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzNTIz/MzEtMTYzOTY4MTgw/Ny04OTMyLmpwZWc.jpeg,1,MIA - Maya,FALSE,MIA - Maya | Village Record Club,MIA - Maya is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,MF Doom - MM..Food,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, All Media, Boom Bap, Conscious, GZ Media, Hip Hop, Jazzy Hip-Hop, LLC, LP, Reissue, Repress, Rhymesayers Entertainment, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/hdGhbaRjPSMBPhA52lUkubOw_1m1FbN6edkbqEwy9qo/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NjU5/Mi0xMTg1OTcyMzU0/LmpwZWc.jpeg,1,MF Doom - MM..Food,FALSE,MF Doom - MM..Food | Village Record Club,MF Doom - MM..Food is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,M. Ward - Post-War,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"AcousTech Mastering, Acoustic, Album, Art Rock, LP, Merge Records, Pop Rock, Record Technology Incorporated, Rock, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/co571-Fj5Cy7uEIIEBurNJtzDV89fr156SlY56zoi0E/rs:fit/g:sm/q:90/h:500/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0MDUz/NjYtMTMwMjkyNDk3/OC5qcGVn.jpeg,1,M. Ward - Post-War,FALSE,M. Ward - Post-War | Village Record Club,M. Ward - Post-War is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,"Lydia Lunch, Marc Hurtado - My Lover The Killer",,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Avantgarde, Experimental, Jazz, LP, Munster Records, No Wave, Record Store Day, Rock, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/EFB1pgqVsMS8uL3auXyQpX15P88TAMw7uLBXcJ8jHgc/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgzOTYz/ODYtMTQ2MDgxNjA4/MC00Nzg4LmpwZWc.jpeg,1,"Lydia Lunch, Marc Hurtado - My Lover The Killer",FALSE,"Lydia Lunch, Marc Hurtado - My Lover The Killer | Village Record Club","Lydia Lunch, Marc Hurtado - My Lover The Killer is available to add to your wishlist.",,,,,,,,,,,,,,,lb,,,,,active
,Omar Rodriguez Lopez & Lydia Lunch - Omar Rodriguez Lopez & Lydia Lunch,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"12"", 33 ⅓ RPM, Alternative Rock, Electric Lady Studios, EMI April Music Publishing, Experimental, Fusion, Gold Standard Laboratories, Hija De Lola, Jazz, Konkurrent, Prog Rock, Rock, Stage & Screen, Vinyl, Widowspeak Music, Willie Anderson Recordings",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/-W6h9H2iv7XbwutMBKKA7yujWcEymvIotFQY5JvmxNk/rs:fit/g:sm/q:90/h:350/w:350/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI3Njky/NzctMTMwMDIxMjIx/NS5qcGVn.jpeg,1,Omar Rodriguez Lopez & Lydia Lunch - Omar Rodriguez Lopez & Lydia Lunch,FALSE,Omar Rodriguez Lopez & Lydia Lunch - Omar Rodriguez Lopez & Lydia Lunch | Village Record Club,Omar Rodriguez Lopez & Lydia Lunch - Omar Rodriguez Lopez & Lydia Lunch is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Luther Vandross - Never Too Much,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Boogie, CBS Inc., Columbia Records Pressing Plant, Diplomat Music Corporation, Disco, Epic, Epic Records, Funk / Soul, LP, Mediasound, Soul, Sterling Sound, Terre Haute, Uncle Ronnie's Music Co. Inc., Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/yFErZitLJl0cfQ5OPW55Sxg2M59N6F2Re-v7Aeiazb8/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU1NTA2/Mi0xMzU0OTE1MjAz/LTczMTAuanBlZw.jpeg,1,Luther Vandross - Never Too Much,FALSE,Luther Vandross - Never Too Much | Village Record Club,Luther Vandross - Never Too Much is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
