Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
A Tribe Called Quest - Midnight Marauders,A Tribe Called Quest - Midnight Marauders,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"A Tribe Called Quest, jazz rap, east coast hip hop, hip hop",,,,,,,,,,,,deny,manual,,,,,,https://i.scdn.co/image/ab67616d0000b273f306af1dae08f81f9d6f1f9f,,A Tribe Called Quest - Midnight Marauders,,A Tribe Called Quest - Midnight Marauders | Village Record Club,Midnight Marauders by A Tribe Called Quest,543523,,,,,,,,,,,,,,,,,,,Active
A Tribe Called Quest - The Low End Theory,A Tribe Called Quest - The Low End Theory,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"A Tribe Called Quest, jazz rap, east coast hip hop, hip hop",,,,,,,,,,,,deny,manual,,,,,,https://i.scdn.co/image/ab67616d0000b273f38c6b37a21334e22005b1f7,,A Tribe Called Quest - The Low End Theory,,A Tribe Called Quest - The Low End Theory | Village Record Club,The Low End Theory by A Tribe Called Quest,543523,,,,,,,,,,,,,,,,,,,Active
Gang Starr - Daily Operation,Gang Starr - Daily Operation,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Gang Starr, east coast hip hop, hip hop, boom bap",,,,,,,,,,,,deny,manual,,,,,,https://i.scdn.co/image/ab67616d0000b273e38d4567dbeb5decf989a84d,,Gang Starr - Daily Operation,,Gang Starr - Daily Operation | Village Record Club,Daily Operation by Gang Starr,543523,,,,,,,,,,,,,,,,,,,Active
