Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
,Doom And Madlib - Madvillain - Madvillainy,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Bionic, Boom Bap, Doom's Crib, Experimental, Fat Beats Distribution, Hip Hop, Jazzy Hip-Hop, KRB Music, Leftfield, Lord Dihoo Music, LP, Madlib Invazion, Masterdisk, Stones Throw Records, The Bomb Shelter, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,,1,Doom And Madlib - Madvillain - Madvillainy,FALSE,Doom And Madlib - Madvillain - Madvillainy | Village Record Club,Doom And Madlib - Madvillain - Madvillainy is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Donny Hathaway - Supervised By Quincy Jones - Come Back Charleston Blue (Original Motion Picture Soundtrack),,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"A&R Studios, Album, ATCO Records, Atlantic Recording Corporation, Atlantic Studios, Bossa Nova, Dixieland, Easy Listening, Funk, Funk / Soul, IN, Jazz, Kuumba-W.B. Music, LP, PRC Recording Company, Richmond, Soul, Soundtrack, Stage & Screen, Vinyl, Wb Music Corp.",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,,1,Donny Hathaway - Supervised By Quincy Jones - Come Back Charleston Blue (Original Motion Picture Soundtrack),FALSE,Donny Hathaway - Supervised By Quincy Jones - Come Back Charleston Blue (Original Motion Picture Soundtrack) | Village Record Club,Donny Hathaway - Supervised By Quincy Jones - Come Back Charleston Blue (Original Motion Picture Soundtrack) is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Donna Summer - On The Radio: Greatest Hits Vol. 1 & 2,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Allen Zentz Mastering, Casablanca, Columbia Records Pressing Plant, Compilation, Disco, Electronic, Funk / Soul, LP, Partially Mixed, Pitman, Pop, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,,1,Donna Summer - On The Radio: Greatest Hits Vol. 1 & 2,FALSE,Donna Summer - On The Radio: Greatest Hits Vol. 1 & 2 | Village Record Club,Donna Summer - On The Radio: Greatest Hits Vol. 1 & 2 is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Donna Summer - I'm A Rainbow - Recovered & Recoloured,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Alchemy Mastering, Ballad, BBC Studios, Carla Ridge Camp, Crimson Productions Ltd., DC Music Room, Driven By The Music, Electronic, Evita Music Ltd., Funk / Soul, Grand Musique Management, GZ Media, Hi NRG, House Of Ellis LLC, LLC., LP, Nu-Disco, Pop, Sudano Songs, Synth-pop, Universal Music Publishing Ltd., USA, Vinyl, Warner Chappell Artemis Music Ltd., Warner Chappell North America Limited, Warner Chappell Overseas Holding Ltd.",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,,1,Donna Summer - I'm A Rainbow - Recovered & Recoloured,FALSE,Donna Summer - I'm A Rainbow - Recovered & Recoloured | Village Record Club,Donna Summer - I'm A Rainbow - Recovered & Recoloured is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Donna Summer - A Hot Summer Night,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Crimson, Disco, Driven By The Music, Funk / Soul, LP, Pop, Record Store Day, Reissue, Remastered, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,,1,Donna Summer - A Hot Summer Night,FALSE,Donna Summer - A Hot Summer Night | Village Record Club,Donna Summer - A Hot Summer Night is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Donald Fagen - Donald Fagen's The Nightfly Live,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, AOR, Beacon Theatre, Bernie Grundman Mastering, GZ Media, Inc., Jazz, LP, New York, Nightfly Productions, Nyc, Orpheum Theatre, Pop, Precision Record Pressing, Reservoir Studios, Rock, UMe, UMG Recordings, Universal Music Enterprises, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,,1,Donald Fagen - Donald Fagen's The Nightfly Live,FALSE,Donald Fagen - Donald Fagen's The Nightfly Live | Village Record Club,Donald Fagen - Donald Fagen's The Nightfly Live is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Donald Austin - Crazy Legs,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Bridgeport Music, Columbia Records Pressing Plant, Eastbound Records, Funk, Funk / Soul, Inc., Janus Records, LP, Mastercraft, Pitman, Stereo, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,,1,Donald Austin - Crazy Legs,FALSE,Donald Austin - Crazy Legs | Village Record Club,Donald Austin - Crazy Legs is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Don Wilkerson - Preach Brother!,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Blue Note, Blue Note Classic Vinyl Series, Blue Note Records, Blue Note Records Inc., Capitol Records, Cohearent Audio, Inc., Jazz, LLC, LP, Optimal Media GmbH, Reissue, Soul-Jazz, Stereo, UMe, UMG Recordings, Universal International Music B.V., Universal Music, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,,1,Don Wilkerson - Preach Brother!,FALSE,Don Wilkerson - Preach Brother! | Village Record Club,Don Wilkerson - Preach Brother! is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Dome La Muerte E.X.P. - Lazy Sunny Day,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Acoustic, Album, Cinedelic Records, Gianluca Alessandrini Studio, Go Down Records, Go Down Studio, Limited Edition, LP, Psychedelic Rock, Rock, Surf, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,,1,Dome La Muerte E.X.P. - Lazy Sunny Day,FALSE,Dome La Muerte E.X.P. - Lazy Sunny Day | Village Record Club,Dome La Muerte E.X.P. - Lazy Sunny Day is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Porter Wagoner And Dolly Parton - The Best Of Porter Wagoner & Dolly Parton,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"& Country, Compilation, Folk, Indianapolis, LP, Nashville, RCA Records, RCA Records Pressing Plant, RCA Victor, RCA Victor Studios, Reissue, Vinyl, World",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,,1,Porter Wagoner And Dolly Parton - The Best Of Porter Wagoner & Dolly Parton,FALSE,Porter Wagoner And Dolly Parton - The Best Of Porter Wagoner & Dolly Parton | Village Record Club,Porter Wagoner And Dolly Parton - The Best Of Porter Wagoner & Dolly Parton is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
