Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
jd-mcpherson-undivided-heart-soul,JD McPherson - Undivided Heart & Soul,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Blues, CA, Glass Onion Recording, Hendersonville, LLC, Los Angeles, LP, MPO, Nashville, New West Records, Noiseland Industries, RCA Victor Studios, Rhythm & Blues, Rock, Rock & Roll, Rockabilly, Sounds Like A Fire, SST GmbH, Stereo, Sterling Sound, Sun Drop Sound, Sunking Studios, The Red Lodge, TN, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.scdn.co/image/ab67616d0000b273f3225a96109fa46c026dc688,1,JD McPherson - Undivided Heart & Soul,FALSE,JD McPherson - Undivided Heart & Soul | Village Record Club,JD McPherson - Undivided Heart & Soul is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
jd-mcpherson-signs-signifiers,JD McPherson - Signs & Signifiers,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, ASP Publishing, Chesterboy Music, CMG Mastering, Concord Music Group, Faro Shuffle Music, Hi-Style Enterprises, Hi-Style Records, Hi-Style Studio, House Of Bryant Publications, Inc., LP, Quarter Inch Music, Rainbo Records, Reissue, Rock, Rock & Roll, Rockabilly, Rounder Records, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.scdn.co/image/ab67616d0000b273066c8ea7d414c9e56f95502d,1,JD McPherson - Signs & Signifiers,FALSE,JD McPherson - Signs & Signifiers | Village Record Club,JD McPherson - Signs & Signifiers is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
jd-mcpherson-nite-owls,JD McPherson - Nite Owls,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Blackwatch Studios, Infrasonic Sound, Jean Pump Studio, Limited Edition, LLC, LP, Nashville, New West Records, RCA Studio B, Record Technology Incorporated, Reliable Recorders, Rock, Rock & Roll, Stereo, TN, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.scdn.co/image/ab67616d0000b2736e737e6d6e6a279db8208727,1,JD McPherson - Nite Owls,FALSE,JD McPherson - Nite Owls | Village Record Club,JD McPherson - Nite Owls is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
jarv-is-remix-ed,JARV IS... - REMIX ED...,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Alternative Rock, BMG, Disco, Dub, Electronic, LP, McCall Sound Studios, Metropolis Mastering, Rock, Rough Trade, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.scdn.co/image/ab67616d0000b2736e737e6d6e6a279db8208727,1,JARV IS... - REMIX ED...,FALSE,JARV IS... - REMIX ED... | Village Record Club,JARV IS... - REMIX ED... is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
jarv-is-beyond-the-pale,JARV IS... - Beyond The Pale,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Indie Rock, LP, Optimal Media GmbH, Rock, Rough Trade, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.scdn.co/image/ab67616d0000b2730217909888829439adea9a3b,1,JARV IS... - Beyond The Pale,FALSE,JARV IS... - Beyond The Pale | Village Record Club,JARV IS... - Beyond The Pale is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
j-i-d-the-never-story,J.I.D - The Never Story,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Conscious, Dreamville, GZ Media, Hip Hop, Interscope Records, LP, Precision Record Pressing, Sterling Sound, Universal Music Distribution, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.scdn.co/image/ab67616d0000b273f705b14ca8b81af140d1f1d3,1,J.I.D - The Never Story,FALSE,J.I.D - The Never Story | Village Record Club,J.I.D - The Never Story is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
j-i-d-dicaprio-2,J.I.D - DiCaprio 2,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Conscious, Dreamville, Gangsta Grillz, Hardcore Hip-Hop, Hip Hop, Interscope Records, LP, Sterling Sound, Trap, UMG Commercial Services, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.scdn.co/image/ab67616d0000b273f5991f6f1f0de2277bb8d948,1,J.I.D - DiCaprio 2,FALSE,J.I.D - DiCaprio 2 | Village Record Club,J.I.D - DiCaprio 2 is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
j-spaceman-sun-city-girls-mister-lonely-music-from-a-film-by-harmony-korine,J. Spaceman / Sun City Girls - Mister Lonely (Music From A Film By Harmony Korine),,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Aerial Studios, Ambient, Dialogue, Domino Music Publishing, Drag City, Drag City Inc., Karakoram Publishing, LP, Record Technology Incorporated, Score, Shwedagon Publishing, Stage & Screen, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.scdn.co/image/ab67616d0000b2736dcaf7ff70586f53e0c62a89,1,J. Spaceman / Sun City Girls - Mister Lonely (Music From A Film By Harmony Korine),FALSE,J. Spaceman / Sun City Girls - Mister Lonely (Music From A Film By Harmony Korine) | Village Record Club,J. Spaceman / Sun City Girls - Mister Lonely (Music From A Film By Harmony Korine) is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
j-cole-the-off-season,J. Cole - The Off-Season,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Conscious, Dreamville, Hip Hop, Inc., Interscope Records, LP, Roc Nation Records, Universal Music Distribution, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.scdn.co/image/ab67616d0000b27310e6745bb2f179dd3616b85f,1,J. Cole - The Off-Season,FALSE,J. Cole - The Off-Season | Village Record Club,J. Cole - The Off-Season is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
j-cole-kod,J. Cole - KOD,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Conscious, Dreamville, Hip Hop, Interscope Records, LP, Roc Nation, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.scdn.co/image/ab67616d0000b27310e6745bb2f179dd3616b85f,1,J. Cole - KOD,FALSE,J. Cole - KOD | Village Record Club,J. Cole - KOD is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
